Country,number,T-2020-1,T-2020-2,T-2020-3,T-2020-4,T-2021-1,T-2021-2,T-2021-3,T-2021-4,T-2022-1,T-2022-2,T-2022-3,T-2022-4,N-2020-1,N-2020-2,N-2020-3,N-2020-4,N-2021-1,N-2021-2,N-2021-3,N-2021-4,N-2022-1,N-2022-2,N-2022-3,N-2022-4
USA,1,12578,14865,8378,9190,10571,8280,11697,8325,7945,7809,6916,11555,8617,7538,5339,4380,8006,5759,8956,5664,4621,5206,4529,7535
India,2,9013,35710,7393,3684,1461,1527,2282,1605,3748,880,2231,2566,6212,22530,4619,2413,1141,915,1155,920,954,501,1473,1348
Canada,3,1058,2288,1063,1259,942,1395,1191,1246,1679,1566,2384,3146,696,521,576,889,598,912,743,834,1098,777,1608,2029
China,4,891,1875,952,883,962,805,910,1520,1279,1941,1903,2672,628,1347,541,651,702,502,607,1005,870,1173,883,1363
Australia,5,1639,865,916,978,1151,1047,1367,1228,1399,1081,1543,1298,866,507,476,644,722,664,818,781,869,641,997,811
France,6,2933,471,667,469,561,461,509,395,526,550,515,659,700,238,371,271,329,244,279,226,301,247,324,331
Pakistan,7,630,2590,849,416,336,308,412,391,727,238,171,557,330,2329,622,285,207,185,245,251,152,102,105,359
Russia,8,663,755,554,598,245,328,292,296,1216,1165,997,1100,429,571,282,437,105,164,153,168,662,770,693,787
Japan,9,1155,571,472,506,531,447,724,453,820,723,562,717,901,371,279,362,345,263,507,280,440,372,341,438
Ireland,10,416,294,425,423,243,316,361,397,405,414,339,476,265,149,247,332,146,184,215,274,219,225,212,297
Germany,11,495,315,269,329,323,543,315,232,346,358,220,386,387,185,147,232,216,205,229,154,230,179,145,238
Sweden,12,432,143,433,401,656,419,288,455,784,252,195,195,298,91,256,238,544,186,210,377,683,137,108,124
UAE,13,281,264,207,158,64,145,114,100,115,115,57,108,156,150,101,98,44,83,64,58,59,57,29,55
Switzerland,14,227,574,229,130,196,215,142,150,158,159,105,162,168,444,134,101,126,130,72,97,102,84,63,111
Italy,15,241,138,158,205,139,113,719,147,186,884,224,421,156,81,91,154,91,70,221,88,121,150,158,328
Portugal,16,168,160,248,178,59,86,95,78,100,161,88,252,119,82,150,121,40,61,54,53,66,79,51,162
Brazil,17,168,188,546,153,110,87,108,85,83,108,97,108,129,124,150,122,65,57,78,56,49,57,60,65
Belgium,18,164,101,159,117,171,168,176,131,253,514,533,222,109,55,76,83,108,111,111,75,137,226,399,135
Singapore,19,129,108,131,166,97,121,141,84,130,105,62,136,95,68,76,126,55,68,74,46,80,54,37,75
Spain,20,111,106,108,143,79,62,77,102,79,104,75,102,69,56,55,121,48,156,42,67,46,62,46,64
Turkey,21,340,289,167,207,58,1017,104,71,68,98,40,84,225,108,60,165,41,913,58,40,46,44,28,49
Iran,22,278,77,128,399,64,105,81,48,22,35,15,73,96,46,91,294,46,85,49,29,14,22,11,47
Mexico,23,121,136,133,116,112,135,96,97,94,124,49,112,92,98,75,82,69,84,54,51,63,61,40,81
Chile,24,137,48,117,76,130,77,75,86,65,82,83,85,99,35,76,57,97,55,41,57,42,30,51,49
Peru,25,44,27,76,54,20,23,36,24,17,23,41,31,24,18,39,39,18,13,21,19,11,10,16,15
Qatar,26,31,53,40,27,28,35,35,24,40,31,15,36,21,37,26,20,19,21,19,15,13,9,5,18
Ecuador,27,79,12,10,14,4,21,16,5,8,9,4,14,70,7,4,12,3,9,10,4,3,4,1,10
Belarus,28,18,19,19,10,3,6,26,9,2,5,1,4,9,11,8,8,2,3,8,8,1,2,1,3
